	・	・	8919
ニ	2	2	2926
ノ	の	の	2462
スル	する	し	2063
ヲ	を	を	1838
タ	た	た	1580
ト	と	と	1443
ハ	は	は	1443
イチ	1	1	1259
テ	て	て	1256
ゼロ	0	0	978
ガ	が	が	893
ダ	だ	で	882
デ	で	で	721
ゴ	5	5	614
トランプ	トランプ	トランプ	575
ナナ	7	7	551
キュウ	9	9	540
サン	3	3	535
ロク	6	6	523
ネン	年	年	510
ヨン	4	4	504
イル	いる	い	487
ハチ	8	8	475
モ	も	も	399
ナイ	ない	ない	371
ガツ	月	月	368
ダイトウリョウ	大統領	大統領	311
カ	日	日	306
レル	れる	れ	296
コト	こと	こと	277
アル	ある	ある	264
ニチ	日	日	244
カラ	から	から	226
アメリカ	アメリカ	アメリカ	218
シャ	者	者	211
ヤ	や	や	185
チュウゴク	中国	中国	164
ナド	など	など	148
ナル	なる	なっ	147
シュウ	州	州	131
エー	A	A	128
センキョ	選挙	選挙	128
タイスル	対する	対する	127
テキ	的	的	127
トウ	党	党	119
ヘ	へ	へ	113
コク	国	国	110
シジ	支持	支持	109
キタチョウセン	北朝鮮	北朝鮮	106
ニッポン	日本	日本	104
ヨル	よる	よっ	102
ヘンシュウ	編集	編集	101
ノベル	述べる	述べる	99
ニン	人	人	98
ハツゲン	発言	発言	98
アイ	I	I	97
ツク	就く	就い	93
コノ	この	この	92
ヨウ	洋	洋	90
ティー	T	T	87
シ	市	市	86
エヌ	N	N	85
オコナウ	行う	行っ	81
セイケン	政権	政権	81
サイ	再	再	79
ヒョウメイ	表明	表明	79
ビー	B	B	79
ロシア	ロシア	ロシア	78
イー	e	e	77
エル	L	L	77
ダイ	第	第	77
ベイコク	米国	米国	76
ソノ	その	その	75
マタ	また	また	75
エス	S	S	72
オル	おる	おり	70
シュウニン	就任	就任	69
タメ	ため	ため	68
オー	O	O	67
キョウワ	共和	共和	66
ワタクシ	私	私	66
ヒハン	批判	批判	62
モンダイ	問題	問題	62
カイダン	会談	会談	61
ラ	ら	ら	61
コレ	これ	これ	60
ラレル	られる	られ	60
イウ	いう	いう	59
ガッシュウ	合衆	合衆	59
コウホ	候補	候補	59
セル	せる	せ	59
ハッピョウ	発表	発表	58
オク	億	億	56
ヌ	ぬ	ず	56
バ	場	場	56
レンポウ	連邦	連邦	54
カレ	彼	彼	53
ハン	版	版	53
ボウエキ	貿易	貿易	52
ユウ	いう	いう	52
ウケル	受ける	受け	51
タイ	隊	隊	51
マン	マン	マン	50
タチ	たち	たち	49
カン	環	環	48
カンケイ	関係	関係	48
ニューヨーク	ニューヨーク	ニューヨーク	48
ベシ	べし	べき	48
モノ	もの	もの	48
シュギ	主義	主義	47
シー	C	C	46
シュチョウ	主張	主張	45
ジケン	事件	事件	45
ワレワレ	われわれ	われわれ	45
マデ	まで	まで	44
カイ	会	会	42
セイ	性	性	42
カンゼイ	関税	関税	41
コウゲキ	攻撃	攻撃	41
ドル	ドル	ドル	41
メキシコ	メキシコ	メキシコ	41
キ	期	期	40
クル	くる	き	40
シメス	示す	示し	40
イミン	移民	移民	39
エイチ	H	H	39
ドウネン	同年	同年	39
メディア	メディア	メディア	39
ジン	人	人	38
セカイ	世界	世界	38
イスラエル	イスラエル	イスラエル	37
オバマ	オバマ	オバマ	37
セイサイ	制裁	制裁	37
セイジ	政治	政治	37
ソウ	層	層	37
チョウカン	長官	長官	37
デキル	出来る	出来	37
ミンシュ	民主	民主	37
ヨリ	より	より	37
ケン	権	権	36
セイサク	政策	政策	35
ハツ	初	初	35
カク	核	核	34
シジョウ	史上	史上	34
ジョウ	場	場	34
モト	下	下	34
アール	r	r	33
エイゴ	英語	英語	33
キン	金	金	33
キンシ	禁止	禁止	33
サンショウ	参照	参照	33
シュノウ	首脳	首脳	33
ヒナン	非難	非難	33
マエ	前	前	33
グン	軍	軍	32
シュショウ	首相	首相	32
セン	船	船	32
アト	後	後	31
カンコク	勧告	勧告	31
クリントン	クリントン	クリントン	31
サラニ	さらに	さらに	31
セイフ	政府	政府	31
ドナルド	ドナルド	:n::n::n:ドナルド	31
ホウ	法	法	31
エム	M	M	30
エン	円	円	30
キョウリョク	協力	協力	30
ギカイ	議会	議会	30
トモ	とも	とも	30
バイデン	バイデン	バイデン	30
フ	不	不	30
ユー	U	U	30
カンスル	関する	関する	29
ケイザイ	経済	経済	29
ジシン	自身	自身	29
ミル	見る	見る	29
ケイ	系	系	28
シカシ	しかし	しかし	28
シュセキ	首席	首席	28
ショ	所	所	28
ドウ	どう	どう	28
アベ	安倍	安倍	27
イコウ	以降	以降	27
エンゼツ	演説	演説	27
キョウテイ	協定	協定	27
コッカ	国家	国家	27
ナン	男	男	27
ベイチュウ	米中	米中	27
ヤク	約	約	27
サイバン	裁判	裁判	26
シュツバ	出馬	出馬	26
ショウサイ	詳細	詳細	26
ショメイ	署名	署名	26
センソウ	戦争	戦争	26
ヒト	ひと	ひと	26
カイケン	会見	会見	25
ゴウイ	合意	合意	25
ソレ	それ	それ	25
チュウ	中	中	25
ツキ	月	月	25
フク	副	副	25
エフ	F	F	24
ケー	ケー	ケー	24
コウショウ	交渉	交渉	24
シュウカイ	集会	集会	24
ショウ	章	章	24
ショウリ	勝利	勝利	24
ジョセイ	女性	女性	24
ジー	G	G	24
チョウ	超	超	24
トウヒョウ	投票	投票	24
ナオ	なお	なお	24
ミトメル	認める	認め	24
モツ	持つ	持っ	24
レイ	令	令	24
キソ	起訴	起訴	23
クニ	国	国	23
コクサイ	国際	国際	23
ショウネン	少年	少年	23
チョウセン	挑戦	挑戦	23
ニュウコク	入国	入国	23
ヒ	日	日	23
モトメル	求める	求め	23
キシャ	記者	記者	22
コクジン	黒人	黒人	22
サイコウ	最高	最高	22
ジ	次	次	22
チュウゼツ	中絶	中絶	22
ツヨイ	強い	強	22
ピー	P	P	22
ペンス	ペンス	ペンス	22
ホウドウ	報道	報道	22
モットモ	最も	最も	22
ヨビ	予備	予備	22
オモウ	思う	思わ	21
カノウ	可能	可能	21
グンジ	軍事	軍事	21
サイダイ	最大	最大	21
シリア	シリア	シリア	21
ダブリュー	w	 w	21
イク	行く	行っ	20
イスラム	イスラム	イスラム	20
イッポウ	一方	一方	20
シエン	支援	支援	20
シキ	指揮	指揮	20
ディー	d	d	20
トル	とる	とっ	20
ベイ	ベイ	ベイ	20
アンゼン	安全	安全	19
ウエ	上	上	19
シケイ	死刑	死刑	19
シル	知る	知り	19
シンブン	新聞	新聞	19
ジョウホウ	情報	情報	19
ダケ	だけ	だけ	19
チュウシャク	注釈	注釈	19
ツイッター	ツイッター	ツイッター	19
トキ	時	時	19
ナカ	中	中	19
ニチベイ	日米	日米	19
バングミ	番組	番組	19
ヒラリー	ヒラリー	ヒラリー	19
フタタビ	再び	再び	19
プーチン	プーチン	プーチン	19
ヨブ	呼ぶ	呼び	19
オオイ	多い	多い	18
カス	課す	課す	18
コウ	好	好	18
サベツ	差別	差別	18
シメイ	指名	指名	18
ジカン	時間	 時間	18
ジキ	時期	時期	18
ジブン	自分	自分	18
ジンシュ	人種	人種	18
ダンタイ	団体	団体	18
ツツ	つつ	つつ	18
ハクジン	白人	白人	18
ハンパツ	反発	反発	18
パーセント	パーセント	パーセント	18
ホゴ	保護	保護	18
メ	目	目	18
ユダヤ	ユダヤ	ユダヤ	18
アイダ	間	間	17
イライ	以来	以来	17
イラン	イラン	イラン	17
インタビュー	インタビュー	インタビュー	17
オヨビ	及び	及び	17
キョウカ	強化	強化	17
キョウギ	協議	協議	17
コウギ	抗議	抗議	17
サ	さ	さ	17
サンカ	参加	参加	17
シドウ	指導	指導	17
シュッセキ	出席	出席	17
セイメイ	声明	声明	17
ソチ	措置	措置	17
デンワ	電話	電話	17
ド	度	度	17
ハウス	ハウス	ハウス	17
ヒガイ	被害	被害	17
ヒツヨウ	必要	必要	17
ホシュ	保守	保守	17
ホワイト	ホワイト	ホワイト	17
ミサイル	ミサイル	ミサイル	17
イッチ	一致	一致	16
イン	員	員	16
ガイコウ	外交	外交	16
キョウ	教	教	16
キョウドウ	共同	共同	16
コクミン	国民	国民	16
シセイ	姿勢	姿勢	16
ジョンウン	正恩	正恩	16
ジンエイ	陣営	陣営	16
スベテ	すべて	すべて	16
ダイガク	大学	大学	16
チョウサ	調査	調査	16
ツイカ	追加	追加	16
ハンタイ	反対	反対	16
バアイ	場合	場合	16
ホウズル	報ずる	報じ	16
マス	増す	増し	16
ミズカラ	自ら	自ら	16
ヤル	やる	やっ	16
