辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,語形(基本形),語彙素ID
,B,DeepSeek,,,名詞,,　
,I,（,（,,補助記号-括弧開,,46
,I,ディープ,ディープ-deep,ディープ,名詞-普通名詞-形状詞可能,ディープ,43838
,I,シーク,シーク-seek,シーク,名詞-普通名詞-一般,シーク,192739
,I,）,）,,補助記号-括弧閉,,49
,I,と,と,ト,助詞-格助詞,ト,25826
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,、,、,,補助記号-読点,,24
,I,オープン,オープン-open,オープン,名詞-普通名詞-サ変形状詞可能,オープン,5554
,I,ソース,ソース-sauce,ソース,名詞-普通名詞-一般,ソース,83327
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,大,大,ダイ,接頭辞,ダイ,22935
,I,規模,規模,キボ,名詞-普通名詞-一般,キボ,8810
,I,言語,言語,ゲンゴ,名詞-普通名詞-一般,ゲンゴ,11660
,I,モデル,モデル-model,モデル,名詞-普通名詞-一般,モデル,37817
,I,（,（,,補助記号-括弧開,,46
,I,L,Ｌ,エル,記号-文字,エル,4109
,I,L,Ｌ,エル,記号-文字,エル,4109
,I,M,Ｍ,エム,記号-文字,エム,4042
,I,）,）,,補助記号-括弧閉,,49
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,開発,開発,カイハツ,名詞-普通名詞-サ変可能,カイハツ,5876
,I,を,を,ヲ,助詞-格助詞,ヲ,41407
,I,手がける,手掛ける,テガケル,動詞-一般,テガケル,25069
,I,、,、,,補助記号-読点,,24
,I,中国,中国,チュウゴク,名詞-固有名詞-地名-国,チュウゴク,23798
,I,発,発,ハツ,接尾辞-名詞的-一般,ハツ,29904
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,スタート,スタート-start,スタート,名詞-普通名詞-サ変可能,スタート,19233
,I,アップ,アップ-up,アップ,名詞-普通名詞-サ変可能,アップ,795
,I,企業,企業,キギョウ,名詞-普通名詞-一般,キギョウ,8392
,I,です,です,デス,助動詞,デス,25653
,I,。,。,,補助記号-句点,,25
,B,:n:2,二,ニ,名詞-数詞,ニ,28181
,I,0,ゼロ-zero,ゼロ,名詞-数詞,ゼロ,20754
,I,2,二,ニ,名詞-数詞,ニ,28181
,I,5,五,ゴ,名詞-数詞,ゴ,13327
,I,年,年,ネン,名詞-普通名詞-助数詞可能,ネン,28927
,I,1,一,イチ,名詞-数詞,イチ,2050
,I,月,月,ガツ,名詞-普通名詞-助数詞可能,ガツ,8121
,I,に,に,ニ,助詞-格助詞,ニ,28178
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,、,、,,補助記号-読点,,24
,I,「,「,,補助記号-括弧開,,33
,I,Mixture,,,名詞,,　
,I,of,,,名詞,,　
,I,Experts,,,名詞,,　
,I,（,（,,補助記号-括弧開,,46
,I,M,Ｍ,エム,記号-文字,エム,4042
,I,o,Ｏ,オー,記号-文字,オー,5486
,I,E,Ｅ,イー,記号-文字,イー,2868
,I,）,）,,補助記号-括弧閉,,49
,I,※,※,,補助記号-一般,,8
,I,」,」,,補助記号-括弧閉,,34
,I,と,と,ト,助詞-格助詞,ト,25826
,I,いう,言う,イウ,動詞-一般,ユウ,1571
,I,アーキテクチャ,アーキテクチャー-architecture,アーキテクチャー,名詞-普通名詞-一般,アーキテクチャ,1449
,I,を,を,ヲ,助詞-格助詞,ヲ,41407
,I,採用,採用,サイヨウ,名詞-普通名詞-サ変可能,サイヨウ,13830
,I,し,為る,スル,動詞-非自立可能,スル,19537
,I,た,た,タ,助動詞,タ,21642
,I,、,、,,補助記号-読点,,24
,I,最新,最新,サイシン,名詞-普通名詞-一般,サイシン,13735
,I,A,Ａ,エー,記号-文字,エー,4296
,I,I,Ｉ,アイ,記号-文字,アイ,81
,I,モデル,モデル-model,モデル,名詞-普通名詞-一般,モデル,37817
,I,「,「,,補助記号-括弧開,,33
,I,DeepSeek,,,名詞,,　
,I,-,,,名詞,,　
,I,R,Ｒ,アール,記号-文字,アール,1477
,I,1,一,イチ,名詞-数詞,イチ,2050
,I,」,」,,補助記号-括弧閉,,34
,I,を,を,ヲ,助詞-格助詞,ヲ,41407
,I,リリース,リリース-release,リリース,名詞-普通名詞-サ変可能,リリース,40352
,I,。,。,,補助記号-句点,,25
,I,その,其の,ソノ,連体詞,ソノ,21394
,I,性能,性能,セイノウ,名詞-普通名詞-一般,セイノウ,19954
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,OpenAI,,,名詞,,　
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,高,高,コウ,接頭辞,コウ,11865
,I,精度,精度,セイド,名詞-普通名詞-一般,セイド,19940
,I,モデル,モデル-model,モデル,名詞-普通名詞-一般,モデル,37817
,I,「,「,,補助記号-括弧開,,33
,I,o,Ｏ,オー,記号-文字,オー,5486
,I,1,一,イチ,名詞-数詞,イチ,2050
,I,」,」,,補助記号-括弧閉,,34
,I,と,と,ト,助詞-格助詞,ト,25826
,I,同等,同等,ドウトウ,形状詞-一般,ドウトウ,27136
,I,ながら,ながら,ナガラ,助詞-接続助詞,ナガラ,27743
,I,、,、,,補助記号-読点,,24
,I,A,Ａ,エー,記号-文字,エー,4296
,I,P,Ｐ,ピー,記号-文字,ピー,32239
,I,I,Ｉ,アイ,記号-文字,アイ,81
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,利用,利用,リヨウ,名詞-普通名詞-サ変可能,リヨウ,40341
,I,コスト,コスト-cost,コスト,名詞-普通名詞-一般,コスト,12723
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,わずか,僅か,ワズカ,副詞,ワズカ,41263
,I,2,二,ニ,名詞-数詞,ニ,28181
,I,5,五,ゴ,名詞-数詞,ゴ,13327
,I,分,分,ブン,接尾辞-名詞的-サ変可能,ブン,51535
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,1,一,イチ,名詞-数詞,イチ,2050
,I,以下,以下,イカ,名詞-普通名詞-一般,イカ,1611
,I,と,と,ト,助詞-格助詞,ト,25826
,I,いう,言う,イウ,動詞-一般,ユウ,1571
,I,圧倒,圧倒,アットウ,名詞-普通名詞-サ変可能,アットウ,793
,I,的,的,テキ,接尾辞-形状詞的,テキ,25076
,I,な,だ,ダ,助動詞,ダ,22916
,I,コスト,コスト-cost,コスト,名詞-普通名詞-一般,コスト,12723
,I,パフォーマンス,パフォーマンス-performance,パフォーマンス,名詞-普通名詞-一般,パフォーマンス,31000
,I,を,を,ヲ,助詞-格助詞,ヲ,41407
,I,誇り,誇る,ホコル,動詞-一般,ホコル,34655
,I,、,、,,補助記号-読点,,24
,I,世界,世界,セカイ,名詞-普通名詞-一般,セカイ,20054
,I,中,中,チュウ,接尾辞-名詞的-副詞可能,チュウ,23742
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,企業,企業,キギョウ,名詞-普通名詞-一般,キギョウ,8392
,I,・,・,,補助記号-一般,,44
,I,開発,開発,カイハツ,名詞-普通名詞-サ変可能,カイハツ,5876
,I,者,者,シャ,接尾辞-名詞的-一般,シャ,15852
,I,から,から,カラ,助詞-格助詞,カラ,7219
,I,注目,注目,チュウモク,名詞-普通名詞-サ変可能,チュウモク,23895
,I,さ,為る,スル,動詞-非自立可能,スル,19537
,I,れ,れる,レル,助動詞,レル,40741
,I,て,て,テ,助詞-接続助詞,テ,24874
,I,い,居る,イル,動詞-非自立可能,イル,2585
,I,ます,ます,マス,助動詞,マス,35697
,I,。,。,,補助記号-句点,,25
,B,:n:※,※,,補助記号-一般,,8
,I,Mixture,,,名詞,,　
,I,of,,,名詞,,　
,I,Experts,,,名詞,,　
,I,（,（,,補助記号-括弧開,,46
,I,M,Ｍ,エム,記号-文字,エム,4042
,I,o,Ｏ,オー,記号-文字,オー,5486
,I,E,Ｅ,イー,記号-文字,イー,2868
,I,）,）,,補助記号-括弧閉,,49
,I,…,…,,補助記号-一般,,6
,I,A,Ａ,エー,記号-文字,エー,4296
,I,I,Ｉ,アイ,記号-文字,アイ,81
,I,モデル,モデル-model,モデル,名詞-普通名詞-一般,モデル,37817
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,アーキテクチャ,アーキテクチャー-architecture,アーキテクチャー,名詞-普通名詞-一般,アーキテクチャ,1449
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,一種,一種,イッシュ,名詞-普通名詞-一般,イッシュ,2196
,I,で,で,デ,助詞-格助詞,デ,25518
,I,、,、,,補助記号-読点,,24
,I,複数,複数,フクスウ,名詞-普通名詞-一般,フクスウ,32647
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,「,「,,補助記号-括弧開,,33
,I,専門,専門,センモン,名詞-普通名詞-一般,センモン,20654
,I,家,家,カ,接尾辞-名詞的-一般,カ,5580
,I,」,」,,補助記号-括弧閉,,34
