辞書,文境界,書字形（＝表層形）,語彙素,語種,書字形(基本形),語形(基本形),語彙素ID
,B,:n::n::n:ドナルド,ドナルド-Donald,固,ドナルド,ドナルド,27311
,I,・,・,記号,・,,44
,I,ジョン,ジョン-John,固,ジョン,ジョン,18723
,I,・,・,記号,・,,44
,I,トランプ,トランプ-Trump,固,トランプ,トランプ,336043
,I,（,（,記号,（,,46
,I,英語,英語,漢,英語,エイゴ,3653
,I,:,：,記号,:,,53
,I,Donald,,,,,　
,I,John,,,,,　
,I,Trump,,,,,　
,I,、,、,記号,、,,24
,I,1,一,漢,1,イチ,2050
,I,9,九,漢,9,キュウ,8929
,I,4,四,和,4,ヨン,39551
,I,6,六,漢,6,ロク,40932
,I,年,年,漢,年,ネン,28927
,I,6,六,漢,6,ロク,40932
,I,月,月,漢,月,ガツ,8121
,I,1,一,漢,1,イチ,2050
,I,4,四,和,4,ヨン,39551
,I,日,日,和,日,カ,5582
,I,[,［,記号,[,,58
,I,1,一,漢,1,イチ,2050
,I,],］,記号,],,59
,I,-,,,,,　
,I, ）,）,記号,）,,49
,I,は,は,和,は,ハ,29321
,I,、,、,記号,、,,24
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,合衆,合衆,漢,合衆,ガッシュウ,8103
,I,国,国,漢,国,コク,12504
,I,の,の,和,の,ノ,28989
,I,政治,政治,漢,政治,セイジ,19845
,I,家,家,漢,家,カ,5580
,I,、,、,記号,、,,24
,I,実業,実業,漢,実業,ジツギョウ,17972
,I,家,家,漢,家,カ,5580
,I,。,。,記号,。,,25
,I,第,第,漢,第,ダイ,22937
,I,4,四,和,4,ヨン,39551
,I,5,五,漢,5,ゴ,13327
,I,代,代,漢,代,ダイ,22925
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,合衆,合衆,漢,合衆,ガッシュウ,8103
,I,国,国,漢,国,コク,12504
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,（,（,記号,（,,46
,I,在任,在任,漢,在任,ザイニン,14801
,I,：,：,記号,：,,53
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,1,一,漢,1,イチ,2050
,I,7,七,和,7,ナナ,27908
,I,年,年,漢,年,ネン,28927
,I,1,一,漢,1,イチ,2050
,I,月,月,漢,月,ガツ,8121
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,日,日,和,日,カ,5582
,I,-,,,,,　
,I, 2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,2,二,漢,2,ニ,28181
,I,1,一,漢,1,イチ,2050
,I,年,年,漢,年,ネン,28927
,I,1,一,漢,1,イチ,2050
,I,月,月,漢,月,ガツ,8121
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,日,日,和,日,カ,5582
,I,）,）,記号,）,,49
,I,、,、,記号,、,,24
,I,第,第,漢,第,ダイ,22937
,I,4,四,和,4,ヨン,39551
,I,7,七,和,7,ナナ,27908
,I,代,代,漢,代,ダイ,22925
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,合衆,合衆,漢,合衆,ガッシュウ,8103
,I,国,国,漢,国,コク,12504
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,（,（,記号,（,,46
,I,在任,在任,漢,在任,ザイニン,14801
,I,：,：,記号,：,,53
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,2,二,漢,2,ニ,28181
,I,5,五,漢,5,ゴ,13327
,I,年,年,漢,年,ネン,28927
,I,1,一,漢,1,イチ,2050
,I,月,月,漢,月,ガツ,8121
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,日,日,和,日,カ,5582
,I,-,,,,,　
,I, 現職,現職,漢,現職,ゲンショク,11683
,I,）,）,記号,）,,49
,I,。,。,記号,。,,25
,B,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,1,一,漢,1,イチ,2050
,I,6,六,漢,6,ロク,40932
,I,年,年,漢,年,ネン,28927
,I,の,の,和,の,ノ,28989
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,選挙,選挙,漢,選挙,センキョ,20416
,I,に,に,和,に,ニ,28178
,I,共和,共和,漢,共和,キョウワ,9351
,I,党,党,漢,党,トウ,25857
,I,から,から,和,から,カラ,7219
,I,の,の,和,の,ノ,28989
,I,出馬,出馬,漢,出馬,シュツバ,16407
,I,で,で,和,で,デ,25518
,I,当選,当選,漢,当選,トウセン,26037
,I,し,為る,和,する,スル,19537
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,を,を,和,を,ヲ,41407
,I,一,一,漢,一,イチ,2050
,I,期,期,漢,期,キ,8255
,I,務め,勤める,和,務める,ツトメル,24663
,I,、,、,記号,、,,24
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,年,年,漢,年,ネン,28927
,I,の,の,和,の,ノ,28989
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,選挙,選挙,漢,選挙,センキョ,20416
,I,で,で,和,で,デ,25518
,I,は,は,和,は,ハ,29321
,I,民主,民主,漢,民主,ミンシュ,36952
,I,党,党,漢,党,トウ,25857
,I,候補,候補,漢,候補,コウホ,12364
,I,ジョー,ジョー-外国,固,ジョー,ジョー,18728
,I,・,・,記号,・,,44
,I,バイデン,バイデン-Biden,固,バイデン,バイデン,247058
,I,に,に,和,に,ニ,28178
,I,敗れる,敗れる,和,敗れる,ヤブレル,38406
,I,も,も,和,も,モ,37562
,I,、,、,記号,、,,24
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,2,二,漢,2,ニ,28181
,I,4,四,和,4,ヨン,39551
,I,年,年,漢,年,ネン,28927
