辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,語形(基本形),語彙素ID
,B,【,【,,補助記号-括弧開,,37
,I,技術,技術,ギジュツ,名詞-普通名詞-一般,ギジュツ,9798
,I,解説,解説,カイセツ,名詞-普通名詞-サ変可能,カイセツ,5787
,I,】,】,,補助記号-括弧閉,,38
,I,単語,単語,タンゴ,名詞-普通名詞-一般,タンゴ,22806
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,重要,重要,ジュウヨウ,形状詞-一般,ジュウヨウ,18245
,I,度,度,ド,名詞-普通名詞-助数詞可能,ド,26947
,I,を,を,ヲ,助詞-格助詞,ヲ,41407
,I,測る,測る,ハカル,動詞-一般,ハカル,29532
,I,？,？,,補助記号-句点,,57
,I,T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,-,,,名詞,,　
,I,I,Ｉ,アイ,記号-文字,アイ,81
,I,D,Ｄ,ディー,記号-文字,ディー,25577
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,と,と,ト,助詞-格助詞,ト,25826
,I,O,Ｏ,オー,記号-文字,オー,5486
,I,k,Ｋ,ケー,記号-文字,ケー,11455
,I,a,Ａ,エー,記号-文字,エー,4296
,I,p,Ｐ,ピー,記号-文字,ピー,32239
,I,i,Ｉ,アイ,記号-文字,アイ,81
,I, B,Ｂ,ビー,記号-文字,ビー,32144
,I,M,Ｍ,エム,記号-文字,エム,4042
,I,2,二,ニ,名詞-数詞,ニ,28181
,I,5,五,ゴ,名詞-数詞,ゴ,13327
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,計算,計算,ケイサン,名詞-普通名詞-サ変可能,ケイサン,10944
,I,方法,方法,ホウホウ,名詞-普通名詞-一般,ホウホウ,34563
,I,と,と,ト,助詞-格助詞,ト,25826
,I,は,は,ハ,助詞-係助詞,ハ,29321
,B,:n:執筆,執筆,シッピツ,名詞-普通名詞-サ変可能,シッピツ,15525
,I,：,：,,補助記号-一般,,53
,I,金子,カネコ,カネコ,名詞-固有名詞-人名-姓,カネコ,6935
,I,冴,サエ,サエ,名詞-固有名詞-人名-名,サエ,80383
,B,:n:世の中,世の中,ヨノナカ,名詞-普通名詞-一般,ヨノナカ,39425
,I,に,に,ニ,助詞-格助詞,ニ,28178
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,単なる,単なる,タンナル,連体詞,タンナル,22861
,I,メモ,メモ-memo,メモ,名詞-普通名詞-サ変可能,メモ,37477
,I,書き,書き,カキ,接尾辞-名詞的-一般,カキ,6043
,I,から,から,カラ,助詞-格助詞,カラ,7219
,I,予算,予算,ヨサン,名詞-普通名詞-一般,ヨサン,39262
,I,案,案,アン,名詞-普通名詞-一般,アン,1321
,I,，,，,,補助記号-読点,,50
,I,スポーツ,スポーツ-sport,スポーツ,名詞-普通名詞-サ変可能,スポーツ,19429
,I,記事,記事,キジ,名詞-普通名詞-一般,キジ,8517
,I,や,や,ヤ,助詞-副助詞,ヤ,38083
,I,文学,文学,ブンガク,名詞-普通名詞-一般,ブンガク,33562
,I,作品,作品,サクヒン,名詞-普通名詞-一般,サクヒン,14034
,I,等,等,トウ,接尾辞-名詞的-一般,トウ,25875
,I,，,，,,補助記号-読点,,50
,I,数え,数える,カゾエル,動詞-一般,カゾエル,6590
,I,られ,られる,ラレル,助動詞,ラレル,39787
,I,ない,ない,ナイ,助動詞,ナイ,27438
,I,ほど,ほど,ホド,助詞-副助詞,ホド,34770
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,文書,文書,ブンショ,名詞-普通名詞-一般,ブンショ,33593
,I,が,が,ガ,助詞-格助詞,ガ,7889
,I,存在,存在,ソンザイ,名詞-普通名詞-サ変可能,ソンザイ,21491
,I,する,為る,スル,動詞-非自立可能,スル,19537
,I,．,．,,補助記号-句点,,51
,I,例えば,例えば,タトエバ,副詞,タトエバ,22512
,I,，,，,,補助記号-読点,,50
